iter	Passed	Remaining
0	57	57681
1	58	28974
2	58	19406
3	58	14628
4	59	11752
5	59	9827
6	59	8468
7	59	7439
8	60	6642
9	60	6004
10	60	5481
11	61	5068
12	61	4697
13	62	4381
14	62	4103
15	62	3863
16	63	3651
17	63	3459
18	63	3291
19	64	3136
20	64	2998
21	64	2875
22	65	2762
23	65	2659
24	65	2562
25	65	2471
26	66	2389
27	66	2310
28	66	2237
29	67	2172
30	67	2108
31	67	2048
32	67	1992
33	68	1939
34	68	1889
35	68	1842
36	69	1798
37	69	1758
38	69	1721
39	70	1683
40	70	1646
41	70	1612
42	70	1579
43	71	1547
44	71	1517
45	71	1488
46	72	1460
47	72	1433
48	72	1409
49	72	1385
50	73	1362
51	73	1340
52	73	1318
53	74	1298
54	74	1278
55	74	1259
56	74	1240
57	75	1224
58	75	1207
59	76	1191
60	76	1174
61	76	1159
62	76	1143
63	77	1128
64	77	1115
65	77	1102
66	78	1089
67	78	1075
68	78	1063
69	79	1052
70	79	1041
71	79	1029
72	80	1017
73	80	1005
74	80	996
75	81	987
76	81	976
77	81	967
78	82	957
79	82	947
80	82	938
81	83	929
82	83	919
83	83	910
84	83	901
85	84	893
86	84	884
87	84	876
88	84	867
89	85	860
90	85	852
91	85	845
92	85	838
93	86	831
94	86	824
95	86	817
96	87	810
97	87	803
98	87	796
99	87	790
100	88	783
101	88	777
102	88	771
103	88	766
104	89	760
105	89	755
106	89	749
107	90	744
108	90	738
109	90	733
110	90	728
111	91	723
112	91	719
113	92	715
114	92	710
115	92	706
116	93	702
117	93	697
118	93	693
119	93	689
120	94	685
121	94	680
122	94	676
123	95	671
124	95	667
125	95	663
126	95	659
127	96	655
128	96	651
129	96	648
130	97	644
131	97	640
132	97	637
133	98	633
134	98	629
135	98	626
136	98	622
137	99	619
138	99	616
139	99	613
140	100	610
141	100	606
142	100	603
143	101	600
144	101	597
145	101	594
146	102	592
147	102	589
148	102	587
149	103	584
150	103	581
151	103	578
152	104	576
153	104	573
154	104	570
155	104	567
156	105	565
157	105	562
158	105	559
159	106	557
160	106	553
161	106	551
162	106	548
163	107	546
164	107	543
165	107	541
166	108	539
167	108	537
168	108	534
169	109	532
170	109	530
171	109	527
172	109	525
173	110	522
174	110	520
175	110	519
176	111	517
177	111	515
178	111	513
179	112	511
180	112	509
181	112	507
182	113	505
183	113	503
184	113	501
185	113	498
186	114	497
187	114	495
188	114	493
189	115	491
190	115	489
191	115	486
192	115	485
193	116	483
194	116	481
195	116	479
196	117	477
197	117	475
198	117	474
199	118	472
200	118	470
201	118	468
202	118	466
203	119	465
204	119	463
205	119	461
206	120	459
207	120	457
208	120	456
209	120	454
210	121	453
211	121	451
212	121	450
213	122	448
214	122	447
215	122	446
216	123	444
217	123	443
218	123	441
219	124	439
220	124	438
221	124	436
222	124	435
223	125	433
224	125	432
225	125	431
226	126	429
227	126	427
228	126	426
229	127	425
230	127	423
231	127	422
232	127	421
233	128	420
234	128	418
235	128	417
236	129	415
237	129	414
238	129	413
239	130	412
240	130	410
241	130	409
242	130	408
243	131	406
244	131	405
245	131	403
246	132	402
247	132	401
248	132	400
249	133	399
250	133	397
251	133	396
252	133	395
253	134	394
254	134	392
255	134	391
256	135	390
257	135	389
258	135	387
259	135	386
260	136	385
261	136	384
262	136	383
263	137	382
264	137	381
