iter	Passed	Remaining
0	0	94
1	1	60
2	1	49
3	1	40
4	1	36
5	3	47
6	3	43
7	3	41
8	3	39
9	4	37
10	4	35
11	4	34
12	4	33
13	5	31
14	5	30
15	5	30
16	6	29
17	6	28
18	6	27
19	6	27
20	7	26
21	7	26
22	7	25
23	7	24
24	8	24
25	8	23
26	8	23
27	8	22
28	8	22
29	9	21
30	9	21
31	9	20
32	9	20
33	10	19
34	10	19
35	10	18
36	10	18
37	11	18
38	11	17
39	11	17
40	11	16
41	11	16
42	12	15
43	12	15
44	12	15
45	12	14
46	12	14
47	13	14
48	13	13
49	13	13
50	13	13
51	14	13
52	14	12
53	14	12
54	14	12
55	15	11
56	15	11
57	15	11
58	15	10
59	16	10
60	16	10
61	16	10
62	16	9
63	17	9
64	17	9
65	17	9
66	17	8
67	18	8
68	18	8
69	18	7
70	18	7
71	19	7
72	19	7
73	19	6
74	19	6
75	19	6
76	20	6
77	20	5
78	20	5
79	20	5
80	21	4
81	21	4
82	21	4
83	21	4
84	22	3
85	22	3
86	22	3
87	22	3
88	23	2
89	23	2
90	23	2
91	23	2
92	24	1
93	24	1
94	24	1
95	24	1
96	25	0
97	25	0
98	25	0
99	25	0
